request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_137,33094.54,affordable_later,wait,2025-12-15:80100,2025-12-15,none,"Recommendation: wait. With a current safe amount of 33,094.54 and minimum balance reserve of 71,800, funding 80,100 now would dip below reserve; plan to complete 80,100 by 2025-12-15 ahead of 2026-01-15."
request_138,868.17,affordable_with_plan,partial_payment,2026-04-07:868.17|2026-04-15:388.77,2026-04-15,none,"Plan uses safe amount 868.17 EUR today; total requested 1,256.94 split as 868.17 on 2026-04-07 and 388.77 on 2026-04-15, maintaining a 2,300 EUR minimum and finishing before the 2026-06-05 deadline."
request_139,1483.45,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Approved: three installments of 802.88 on 2024-09-07, 2024-10-08, and 2024-11-08 totaling 2,408.64; safe amount is 1,483.45 with a 1,500 minimum balance, deadline 2024-11-17."
request_140,3316.99,not_affordable,not_recommended,none,,none,"Not recommended: requesting 62,832 by 2025-03-04 is unaffordable; after MinKeep 21,600, balance 34,679 leaves 13,079, while safe withdrawable is 3,316.99."
request_141,26665.4,not_affordable,not_recommended,none,,none,"Not recommended: with INR 122,545 balance and INR 67,300 MinKeep, only INR 26,665.40 is safely usable; the 171,600 due by 12-Feb-2026 cannot be funded while preserving the reserve."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Full payment of $1,263.60 is affordable now from a $5,993.85 balance; after payment, ≈$4,730.25 remains vs a $1,700 minimum reserve, deadline 2025-02-04; no spending changes."
request_143,4472.25,affordable_later,wait,2025-06-15:12584,2025-06-15,none,"Wait; plan to complete 12,584 ZAR on 2025-06-15, preserving an 11,300 ZAR minimum reserve and safely using 4,472.25 ZAR; deadline is 2025-07-15."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"Full payment of 233.34 is affordable now. With 1,248.08 available and a 600.0 reserve, paying 233.34 leaves ~1,014.74, meeting the 2026-07-26 deadline."
request_145,51554.6,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,"Installments are recommended: three payments of 75,365.33 on 2024-03-20, 2024-04-20, and 2024-05-21. Safe amount is 51,554.60, MinKeep 155,400; plan completes by 2024-05-21, before the 2024-05-26 deadline."
request_146,28112.97,not_affordable,not_recommended,none,,none,"Not recommended: with a 190,065 INR balance and 108,600 INR reserve, only 28,112.97 INR is safely available; the 449,400 INR request cannot be completed by 2025-10-17."
request_147,493.61,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Installments of 391.63 EUR on 2026-04-08, 2026-05-08, and 2026-06-07 (total 1,174.89 EUR) meet the 2026-06-07 deadline. Safe amount: 493.61 EUR; minimum balance reserve: 900.00 EUR."
request_148,9269.03,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Recommended as installments totaling 23,131.68 on 2024-06-14, 2024-07-15, 2024-08-15, affordable within your safe amount of 9,269.03 while preserving a 20,000 ZAR minimum; completion by 2024-08-18."
request_149,23888.6,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Installments recommended: 12,706.03 ZAR on 2025-11-18, 2025-12-16, and 2026-01-13, completing before 2026-01-19; safe amount 23,888.60 ZAR, MinKeep 42,100."
request_150,387.09,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Affordable_with_plan—three installments of 171.98 on 2026-01-06, 2026-02-05, and 2026-03-07; safe amount 387.09, minimum balance reserve 700, deadline 2026-03-16."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Full payment of 26,999,000 IDR is affordable now (2024-09-03). After payment you’ll have 56,999,265 IDR, above the 31,633,600 IDR reserve, with deadline 2024-09-14."
request_152,12424.16,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Installments of R4,812.43 on 2025-02-12, 2025-03-12, and 2025-04-09 total R14,437.29; affordable with plan, maintains an R11,900 minimum balance reserve, and completes by 2025-04-13 (safe amount R12,424.16)."
request_153,272.78,not_affordable,not_recommended,none,,none,"Not recommended: current balance $1,903.60 with a $1,400 MinKeep; funding $2,830.80 by 2026-09-24 would dip below your reserve, even after a $272.78 safe amount."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Installment plan approved: 3 payments of 563.61 EUR on 2024-12-04, 2025-01-04, 2025-02-04; safe amount 1625.8 EUR, keeps MinKeep at 1300 EUR, and completes by 2025-02-14."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay 112,500 now (2025-05-06); remaining balance 105,550, still above the 56,300 minimum reserve and within the 2025-05-20 deadline."
request_156,8788.17,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Recommendation: wait; the 43,076 ZAR target is affordable later given your safe amount of 8,788.17 ZAR and a minimum reserve of 26,900 ZAR, with deadline 2026-06-15."
request_157,6504771.24,affordable_later,wait,2024-03-15:23503000,2024-03-15,none,"Wait. Only 6,504,771 IDR is safe to allocate today, preserving the 15,714,100 IDR minimum reserve. The target 23,503,000 IDR is due by 2024-05-15."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Installments of INR 84,101.33 on 2025-08-07, 2025-09-04, and 2025-10-02; safe amount 242,600 within a 745,417.1 balance, preserving INR 131,400 reserve, completion by 2025-10-02."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay 13,398 ZAR today (2026-01-04). Post-payment balance is 26,885.20 ZAR, safely above your 8,700 ZAR reserve, with the 2026-03-20 deadline."
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Installments totaling 1,296.15 (432.05 on 2024-06-13; 2024-07-14; 2024-08-14) are affordable with plan. Safe amount is 643.61, minimum balance reserve 1,200, and completion by 2024-08-14 (deadline 2024-08-20)."
request_161,7923597.44,affordable_later,wait,2025-12-15:21204000,2025-12-15,none,"Wait: only 7,923,597 IDR is safely available now; keep 23,010,400 IDR as minimum reserve. Plan to fund 21,204,000 IDR by 2025-12-15 for completion before the 2026-01-15 deadline."
request_162,3503123.31,not_affordable,not_recommended,none,,none,"Not affordable: the requested 83,923,000 IDR exceeds your safe amount of 3,503,123.31 IDR and would drop below the 24,161,100 IDR minimum reserve before 2026-08-26; no plan is advised."
request_163,12372662.12,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Installment plan approved: 3 payments of IDR 6,692,053.33 on 2024-09-10, 2024-10-11, and 2024-11-11; deadline 2024-11-15; maintain MinKeep IDR 26,728,700; Safe Amount IDR 12,372,662.12."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Installment plan is affordable, totaling 27,018,000 to be paid as 9,366,240 on 2025-02-11, 2025-03-11, and 2025-04-08. Safe amount: 27,018,000; minimum balance reserve: 29,550,500; deadline: 2025-04-15."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Full payment of 80,600 is affordable now (safe amount 80,600) and can be completed by 2026-04-21; you’ll still hold above the 95,000 minimum reserve after payment."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Recommendation: execute the safe amount of 2,907.60 in three installments of 1,007.97 on 2024-12-03, 2025-01-03, and 2025-02-03, preserving a 1,700 min balance and meeting the 2025-02-05 deadline."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay 43,802 ZAR now (safe amount); after the payment, balance is approx 61,288.3 ZAR, which remains above the 31,200 ZAR MinKeep and meets the 2025-05-31 deadline, with no spending changes."
request_168,42919.73,affordable_with_plan,partial_payment,2026-01-07:42919.73|2026-01-15:6460.27,2026-01-15,none,"Partial payment of safe amount 42,919.73 INR on 2026-01-07 and 6,460.27 INR on 2026-01-15; keep minimum reserve 114,400 INR; deadline 2026-03-16."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Allocating ZAR 41,976 is affordable now from a ZAR 77,544.50 balance with a ZAR 18,700 MinKeep; it satisfies the 2024-05-16 deadline and requires no spending changes."
request_170,33257376.51,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Installments plan approved: three payments of 12,804,480 IDR on 2025-08-06, 2025-09-03, and 2025-10-01 to cover 36,936,000 IDR, completing by 2025-10-04; safe funds 33,257,376.51 IDR with MinKeep 24,715,800 IDR."
request_171,96.12,not_affordable,not_recommended,none,,none,"Not recommended: the 1,878.80 EUR request cannot be afforded; only 96.12 EUR is safely withdrawable while keeping 500.00 EUR MinKeep, with a completion deadline of 2026-09-10."
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Recommendation: installments; safe amount 10200, minimum balance reserve 27200; two payments on 2024-06-05 and 2024-07-03 of 5304 each, deadline 2024-07-15; current balance 50942.4 remains above reserve."
request_173,69820.05,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,"Recommendation: proceed with installments; plan covers three payments of INR 39,173.33 on 2025-11-21, 2025-12-19, and 2026-01-16, finishing by 2026-01-17. Safe amount is INR 69,820.05 and maintain a minimum balance reserve of INR 79,100.00."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Proceed with installments of 397.35 EUR on 2026-04-04, 2026-05-04, and 2026-06-03; this completes by 2026-06-07, preserves a 700.00 EUR reserve from a 3,266.04 EUR balance, with a safe amount of 1,146.20 EUR."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Full payment of 2346.30 EUR is affordable now (safe amount 2346.30), leaving 2413.95 EUR and staying above MinKeep 1700.0 EUR; target completion by 2024-10-01 (plan: 2024-09-06: 2346.30)."
request_176,358.08,not_affordable,not_recommended,none,,none,"Not affordable: the 1,239.70 EUR request exceeds your safe 358.08 EUR and would lower 1,286.95 balance to 47.25 EUR, below the 600.00 EUR MinKeep, by the 2025-02-27 deadline."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Full payment of 1017.60 is affordable now (plan: 2026-01-05:1017.60). After payment, balance is 1969.64, well above MinKeep 1300.00, and meets the 2026-01-25 deadline."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Recommendation: fund 2938.1 via three installments of 1018.54 on 2024-12-07, 2025-01-07, and 2025-02-07; deadline 2025-02-12; balance 7959.3 and MinKeep 1400, so reserve is preserved."
request_179,14443998.2,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,"Wait; you can safely reserve 14,443,998 IDR while keeping at least 41,430,800 IDR, and plan to reach 41,648,000 IDR by 2025-06-15 to meet the 2025-07-15 deadline."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Recommendation: full payment of 66,500 INR today (2026-07-06); post-payment balance would be 68,480 INR, still above the 37,300 INR minimum reserve, with deadline 2026-09-02."
request_181,373.61,not_affordable,not_recommended,none,,none,"Not affordable: with balance 3362 and MinKeep 2000, discretionary funds are 1362; requested 5059.2 due by 2024-04-07 exceeds safe amount 373.61, so cannot complete."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay 65714 now (Safe Amount 65714.0) from your 125010.3 balance; after payment you’ll have 59296.3 left, still above MinKeep 31100.0, with deadline 2025-09-26 (plan dated 2025-08-05)."
request_183,25532333.99,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Installments are recommended: allocate up to 25,532,333.99 IDR safely, maintain 11,878,300 IDR as a reserve, and complete by 2026-06-18 with payments on 2026-04-10, 2026-05-10, and 2026-06-09."
request_184,15404.45,not_affordable,not_recommended,none,,none,"With a 163,160 INR balance and 110,800 INR minimum reserve, only 15,404.45 INR is safe to allocate; the 251,900 INR request cannot be completed by 30-Jul-2024, so not affordable."
request_185,350.53,affordable_later,wait,2025-12-15:1257.30,2025-12-15,none,"Wait to process 1257.30 until 2025-12-15; with 2083.40 EUR balance and 1300.00 EUR MinKeep, only 350.53 EUR is safe now; deadline for completion 2026-01-15."
request_186,10220.69,affordable_later,wait,2026-02-15:26554,2026-02-15,none,"Recommendation: wait; with 44,863.50 balance and 22,000 min reserve, you can safely earmark 10,220.69 now, plan to complete 26,554 by 2026-02-15 for the 2026-03-15 deadline."
request_187,44971.01,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait; with 195,735 INR balance and 128,300 INR minimum reserve, you can safely allocate 44,971.01 INR toward the 187,500 INR goal by 2024-11-15."
request_188,238.3,not_affordable,not_recommended,none,,none,"Not recommended: requested 2,464 EUR cannot be afforded; safe amount is 238.30 EUR from a 1,485.30 EUR balance with a 900.00 EUR minimum reserve, deadline 2025-03-04."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,"Full payment of 488.40 is affordable now, leaving a 400.00 minimum balance reserve from your 1,147.66 available; deadline 2026-08-14."
request_190,784.17,affordable_later,wait,2025-01-15:2557.50,2025-01-15,none,"Wait; funding 2,557.50 on 2025-01-15 is affordable within your 2025-02-15 deadline, given a safe amount of 784.17 EUR and a 1,600 EUR minimum balance."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,"You can safely pay 664.40 now from 1,591.06 while preserving the 500.00 minimum reserve; deadline is 2025-07-17 (plan dated 2025-05-03: 664.40)."
request_192,114.04,not_affordable,not_recommended,none,,none,"Not recommended: the 2046 request is unaffordable with your current balance; only 114.04 is safe to use while keeping the 1000 minimum, and the 2026-05-11 deadline cannot be met."
request_193,76.43,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Installment plan approved: 3 payments of 420.23 EUR on 2024-03-21, 2024-04-21, 2024-05-22 (total 1260.69 EUR). Maintains 1000.00 EUR MinKeep and leaves 76.43 EUR safe; completes before 2024-05-28."
request_194,48063.51,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Wait. You can safely allocate 48,063.51 now while preserving 113,600 minimum; plan to complete 132,800 by 2025-10-15, deadline 2025-10-23."
request_195,1001.22,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Installment plan: 405.74 EUR on 2026-01-09, 2026-02-08, 2026-03-10; total 1,217.22 EUR by 2026-03-11, while preserving a 700 EUR minimum balance and noting safe funds of 1001.22 EUR."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,"Full payment of €762.30 is affordable now; with a €1,575.65 balance, paying it leaves €813.35 and keeps you above the €500 MinKeep, deadline 2024-07-05."
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Safe amount is IDR 50,939,000; with a minimum balance reserve of IDR 26,245,900, you can complete via installments of IDR 17,658,853.33 on 2025-11-19, 2025-12-17, and 2026-01-14, finishing by 2026-01-21."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Recommendation: full_payment of INR 185,800 is affordable now; paying this leaves INR 209,390 from a balance of INR 395,190, still above the INR 124,300 MinKeep. Complete by 2026-09-21."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Recommend installments totaling 23,674,000 IDR, split into 3 payments of 8,206,986.67 IDR (2024-09-07, 2024-10-08, 2024-11-08); completes by 2024-11-10 and preserves the 25,359,500 IDR minimum balance reserve."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Full payment of 21,717,000 IDR is recommended today (2025-02-06) as affordable now with a balance of 53,886,150 IDR and MinKeep 20,114,600 IDR; deadline to complete is 2025-04-10, no spending changes."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Proceed with full payment of 23,997,000 IDR today (safe amount), maintaining the 17,304,500 IDR minimum balance reserve, with a 2026-05-16 completion deadline."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Full payment of 123,900 is safe now; after payment you’ll have 242,165, still above the 147,800 MinKeep, with completion by 2025-01-14."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Installments recommended; safe amount 1442.1 EUR, minimum balance reserve 1400.0 EUR; completion by 2025-07-08 with 499.93 EUR payments on 2025-05-10, 2025-06-07, and 2025-07-05."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,"Full payment is affordable now: with EUR 2,626.28 balance and EUR 1,300.00 minimum reserve, pay EUR 588.74 by 2026-01-31 (plan: 2026-01-04: 588.74), no spending changes."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay 10,621,000 IDR now (Safe Amount) on 2024-03-06; remaining 20,841,900 IDR, above MinKeep 13,994,300, with deadline 2024-05-19 and no spending changes."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Safe amount: 1,404.7 EUR. Recommended plan: three installments of 486.96 EUR on 2025-08-03, 2025-08-31, and 2025-09-28, finishing before 2025-09-29; balance 5,231.14 EUR, MinKeep 900 EUR."
request_207,5884.8,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait: safe amount is 5,884.80 and MinKeep is 13,600; funding 11,830 on 2026-07-15 keeps post-payment balance above 13,600, with a deadline of 2026-07-24."
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,"Full payment of 4,413,000 is affordable now; balance 16,928,800, minimum reserve 10,470,700, deadline 2024-07-13, spending changes: none."
request_209,1368.27,not_affordable,not_recommended,none,,none,"Not affordable: with balance 27025.1 ZAR and min reserve 18400 ZAR, only 1368.27 ZAR is safe to release. The 56914 ZAR request cannot be completed by 2025-11-25 without breaching the reserve."
request_210,824.02,affordable_with_plan,partial_payment,2026-04-06:824.02|2026-04-15:536,2026-04-15,none,"Partial payment is affordable with plan: safe amount 824.02, min reserve 2000.00; pay 824.02 on 2026-04-06 and 536.00 on 2026-04-15, leaving 2165.30 and finishing before 2026-06-23."
request_211,542.84,affordable_later,wait,2024-09-15:1788.60,2024-09-15,none,"Recommendation: wait; with EUR 2,727.89 balance and EUR 1,500 minimum reserve, only EUR 542.84 is safe to move now. Plan to fund EUR 1,788.60 by 2024-09-15 to meet the 2024-11-15 completion deadline."
request_212,7708354.9,not_affordable,not_recommended,none,,none,"Not recommended; only IDR 7,708,355 is safe to allocate by 2025-02-28 (balance IDR 51,923,800, min reserve 29,579,800). The requested IDR 71,934,000 exceeds capacity."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Recommendation: installments for the safe amount 3,362.40; plan calls for 1,165.63 on 2026-01-21, 2026-02-20, and 2026-03-22; current balance 12,051.94, minimum reserve 2,100, deadline 2026-03-22."
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,"Installments of 36,270 on 2024-12-04 and 2025-01-01 are recommended to cover the 69,750 safe amount while preserving a 174,900 MinKeep; complete by 2025-01-28."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Proceed with the approved installments totaling 29,986 ZAR, funded as 2025-05-09: 10,395.15; 2025-06-06: 10,395.15; 2025-07-04: 10,395.15, keeping 15,700 ZAR as reserve; deadline 2025-07-10."
request_216,542.16,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"With a $2,966.80 balance and an $1,800.00 minimum reserve, only $542.16 is safely available now. The plan to fund $3,332.40 by 2026-09-15 is affordable later, with no spending changes."
request_217,22262.21,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-04-15,none,"Installments totaling 38,667.21 (12,889.07 on 19 Mar, 19 Apr, 20 May) are affordable within your safe amount of 22,262.21 and minimum balance reserve of 26,800, finishing by 21 May 2024."
request_218,27396716.57,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Installments recommended: three payments of 21,195,893.33 on 2025-08-07, 2025-09-04, 2025-10-02. Safe amount is 27,396,716.57, preserving MinKeep 34,477,200 and finishing by 2025-10-06."
request_219,755.73,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Installment plan: three payments of 580.01 on 2026-04-07, 2026-05-07, 2026-06-06 (total 1,740.03); safe amount 755.73 remains, minimum reserve 1,100, deadline 2026-06-13."
request_220,98.24,not_affordable,not_recommended,none,,none,"With 1,487.32 EUR in balance and a 1,100.00 EUR minimum reserve, the safe amount is 98.24 EUR; attempting 3,118.50 by 2024-07-03 is not affordable, so not recommended."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Approve full payment of 109,800 INR today (2025-11-03). This leaves 158,505 INR after payment, still above the 81,500 INR minimum reserve, and completes by the 2026-01-14 deadline."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Full payment of 34,078 ZAR on 2026-01-05 is affordable now; post-payment balance 84,023.7 ZAR remains above the 27,300 ZAR minimum reserve, with completion by 2026-03-10."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,"Full payment of 898.70 EUR is affordable now from your 2,255.51 EUR balance. It leaves 1,356.81 EUR (above the 800.00 EUR minimum reserve) and meets the 2024-10-20 deadline."
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Installment plan: two payments of 5,370,040 IDR on 2025-02-04 and 2025-03-04 (total 10,740,080 IDR). Keeps 22,187,600 IDR minimum reserve from 49,969,400 IDR balance; deadline 2025-03-16."
request_225,11154999.65,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-15,none,"Installment plan recommended. Safe amount: IDR 11,154,999.65; three payments of IDR 7,647,120 on 2026-07-20, 2026-08-19, 2026-09-18 complete by 2026-09-21."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Full payment of INR 157,000 is affordable now; after payment, your balance would be INR 424,180, safely above the INR 209,400 minimum reserve, with completion by 2025-01-15."
request_227,10938.32,not_affordable,not_recommended,none,,none,"Not recommended: the requested 259,700 cannot be funded within safe discretionary funds (10,938.32) while preserving 62,900 MinKeep; deadline 2025-06-20, so it's not affordable."
request_228,3884336.82,not_affordable,not_recommended,none,,none,"Not recommended: Requested 63,327,000 IDR exceeds your safe amount of 3,884,336.82 IDR and would drop your balance below the 26,191,200 IDR MinKeep by the 2026-04-30 deadline."
request_229,527.86,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,"Installments totaling 1,587.87 are scheduled: 529.29 on 2024-03-18, 2024-04-18, and 2024-05-19, completing by 2024-05-19 (before the 2024-05-23 deadline). Safe Amount: 527.86; MinKeep: 1,000."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Full payment of 3537.60 is affordable now; after payment your balance would be 5139.16, well above the 2000.00 minimum reserve, with a deadline of 2025-10-04."
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"Proceed with installments totaling ZAR 35,706 (12,378.08 on 2026-01-06; 2026-02-05; 2026-03-07), leaving ZAR 48,884.59 after payment, safely above MinKeep 24,300, completes by 2026-03-07 (before 2026-03-17)."
request_232,802.63,affordable_later,wait,2024-07-15:1970.10,2024-07-15,none,"Wait: safe withdrawal is 802.63 EUR to keep a 2400.00 EUR minimum balance. The 1970.10 EUR plan on 2024-07-15 would drop to ~2299.30 EUR, below reserve; deadline 2024-08-15."
request_233,5468200,affordable_with_plan,partial_payment,2025-11-07:5468200|2025-11-15:772800,2025-11-15,none,"Recommendation: partial payments are affordable with plan, using 5,468,200 IDR on 2025-11-07 and 772,800 IDR on 2025-11-15, preserving a 10,365,700 IDR minimum balance and meeting the 2025-12-17 deadline."
request_234,277.33,affordable_later,wait,2026-08-15:1213.30,2026-08-15,none,"Wait; only 277.33 EUR is safe today while preserving a 700 EUR minimum reserve; plan to complete 1213.30 EUR by 2026-08-15, with a deadline of 2026-09-15."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,"Full payment of $967.20 is recommended and affordable now; your balance is $2,086.28, minimum reserve $700, and the completion deadline is 2024-10-25."
request_236,7480454.25,not_affordable,not_recommended,none,,none,"Not recommended. Safe amount is 7,480,454 IDR against the 52,383,000 IDR request; maintaining a 16,768,600 IDR minimum reserve leaves insufficient liquidity to meet the 2025-02-23 deadline."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Full payment of 23,826,000 IDR is affordable now; your balance would drop to 76,998,550 IDR, still above the 22,431,500 IDR minimum, with completion by 2026-05-20 per the 2026-04-05 plan."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Pay 663.6 in installments: 230.05 on 2024-12-07, 2025-01-07, 2025-02-07, while preserving a 700.0 min reserve and completing by 2025-02-16."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,"Full payment of 642.0 is affordable now. Starting balance 1,988.90, paying 642.00 leaves 1,346.90, still above the 600.00 reserve; deadline 2025-05-24."
request_240,16809.81,not_affordable,not_recommended,none,,none,"Not recommended: with a 92,720 INR balance and 52,800 INR minimum reserve, the safe withdrawal is 16,809.81 INR and the 101,200 INR request cannot be met by 20 Mar 2026."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Installments totaling 21,052,000 IDR: 7,298,026.67 on 2024-03-17, 2024-04-17, and 2024-05-18, leaving at least 19,252,000 IDR reserve and completing by 2024-05-25."
request_242,140.82,not_affordable,not_recommended,none,,none,"Not affordable. With a 1037.4 EUR balance and 600 EUR MinKeep, only 437.4 EUR is available against a 1966.8 EUR request due by 2025-08-25; the safe amount is 140.82 EUR, so the target cannot be met."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Full payment of 17,468 ZAR is affordable now, leaving 30,002.4 ZAR (≥ 19,900 minKeep) and meeting the 2026-08-09 deadline; plan executes on 2026-07-07 with no spending changes."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Full payment of 49,918 ZAR is affordable now from your 126,279.20 ZAR balance, keeping the 45,900 ZAR minimum reserve intact; plan dated 2024-06-04 completes by 2024-07-16."
